kind	api_or_backend	transA	transB	m	n	k	a_type	b_type	c_type	d_type	compute_type	count
gemm	rocblas_gemm_ex	T	N	512	1024	2880	bf16_r	bf16_r				144
internal	rocblas_gemm_tensile_backend	T	N	512	1024	2880						144
gemm	rocblas_gemm_ex	T	N	2880	1024	4096	bf16_r	bf16_r				72
gemm	rocblas_gemm_ex	T	N	4096	1024	2880	bf16_r	bf16_r				72
internal	rocblas_gemm_tensile_backend	T	N	2880	1024	4096						72
internal	rocblas_gemm_tensile_backend	T	N	4096	1024	2880						72
gemm	rocblas_sgemm	T	N	32	1024	2880	f32_r	f32_r	f32_r	f32_r	f32_r	69
internal	rocblas_gemm_tensile_backend	T	N	32	1024	2880						69
gemm	rocblas_gemm_ex	T	N	512	93	2880	bf16_r	bf16_r				48
internal	rocblas_gemm_tensile_backend	T	N	512	93	2880						48
gemm	rocblas_gemm_batched_ex	T	N	5120	1024	64	f16_r	f16_r				36
gemm	rocblas_gemm_batched_ex	T	N	64	1024	5120	f16_r	f16_r				36
gemm	rocblas_gemm_batched_ex	T	N	64	1024	8192	f16_r	f16_r				36
gemm	rocblas_gemm_batched_ex	T	N	8192	1024	64	f16_r	f16_r				36
internal	rocblas_gemm_tensile_backend	T	N	5120	1024	64						36
internal	rocblas_gemm_tensile_backend	T	N	64	1024	5120						36
internal	rocblas_gemm_tensile_backend	T	N	64	1024	8192						36
internal	rocblas_gemm_tensile_backend	T	N	8192	1024	64						36
gemm	rocblas_gemm_batched_ex	T	N	256	93	64	f16_r	f16_r				24
gemm	rocblas_gemm_batched_ex	T	N	64	93	256	f16_r	f16_r				24
gemm	rocblas_gemm_ex	T	N	2880	93	4096	bf16_r	bf16_r				24
gemm	rocblas_gemm_ex	T	N	4096	93	2880	bf16_r	bf16_r				24
internal	rocblas_gemm_tensile_backend	T	N	256	93	64						24
internal	rocblas_gemm_tensile_backend	T	N	2880	93	4096						24
internal	rocblas_gemm_tensile_backend	T	N	4096	93	2880						24
internal	rocblas_gemm_tensile_backend	T	N	64	93	256						24
gemm	rocblas_sgemm	T	N	32	93	2880	f32_r	f32_r	f32_r	f32_r	f32_r	23
internal	rocblas_gemm_tensile_backend	T	N	32	93	2880						23
