"Kind","Operation","Agent_Id","Allocation_Size","Address","Correlation_Id","Start_Timestamp","End_Timestamp"
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",4194304,"0x0000787644400000",1,339229670151839,339229672679262
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",56,"0x0000787727681000",1,339229672809682,339229672866462
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 1",4370558976,"0x000078731be00000",8,339230515466085,339230515729204
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",4194304,"0x000078763ce00000",10,339230524789750,339230527389553
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",16777216,"0x000078731ac00000",10,339230544461059,339230554923451
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",622592,"0x0000787714100000",1023,339231723050977,339231741648728
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 1",234881024,"0x0000787529c00000",1026,339231741990207,339231742821145
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",4194304,"0x0000787524a00000",1031,339231750194626,339231752954889
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",16777216,"0x0000787523800000",1031,339231753098788,339231763863260
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 1",318767104,"0x0000787510600000",1035,339231765440056,339231765998935
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",15742976,"0x000078750f600000",1036,339231766018085,339231775884379
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 1",33554432,"0x000078750d400000",1041,339231777104595,339231777265205
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 1",2177280,"0x000078750c600000",1048,339231779890088,339231779979628
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 1",30828288,"0x0000787505800000",1092,339231854401583,339231854589543
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",4194304,"0x00007874f6200000",7572,339231964955524,339231967973186
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",16777216,"0x00007874f5000000",7572,339231968410105,339231980607123
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",4194304,"0x00007874f2400000",16972,339232550714113,339232556780117
"MEMORY_ALLOCATION","MEMORY_ALLOCATION_ALLOCATE","Agent 0",16777216,"0x00007874f1200000",16972,339232557257576,339232581484122
